symbol,name,ipo_date,open_price,First Six Perf,Last Six Perf,Last 30 Perf,Last 14 Perf
QK,Q&K International Group,2019-11-05 00:00:00,17.35,-0.47262247838616717,-0.45593035908596297,-0.08340971585701193,-0.08340971585701193
DUO,Fangdd Network Group,2019-11-01 00:00:00,13.0,-0.31692307692307686,-0.3325599381283835,-0.19345794392523352,-0.19345794392523352
OYST,Oyster Point Pharma,2019-11-01 00:00:00,18.44,0.3731019522776572,0.4755936675461742,-0.3013741411617739,-0.3013741411617739
RAPT,RAPT Therapeutics,2019-10-31 00:00:00,12.25,1.2938775510204084,0.1020408163265306,-0.3287756370416407,-0.3287756370416407
AIH,Aesthetic Medical International Holdings Group,2019-10-25 00:00:00,12.35,-0.5279352226720647,-0.4469606674612635,-0.29483282674772043,-0.29483282674772043
CABA,Cabaletta Bio,2019-10-25 00:00:00,9.0,0.32222222222222224,-0.1788793103448276,0.33372228704784124,0.33372228704784124
HAPP,Happiness Biotech Group Limited,2019-10-25 00:00:00,4.9,-0.45102040816326533,-0.4622030237580993,-0.13541666666666657,-0.13541666666666657
PHAT,Phathom Pharmaceuticals,2019-10-25 00:00:00,22.5,0.3893333333333334,0.24709411323584538,-0.2858063130770883,-0.2858063130770883
PGNY,Progyny,2019-10-25 00:00:00,13.5,0.9155555555555556,0.21055025011368816,0.11474036850921282,0.11474036850921282
TFFP,TFF Pharmaceuticals,2019-10-25 00:00:00,5.19,0.30057803468208083,0.7823529411764707,0.6003521126760564,0.6003521126760564
DAO,Youdao,2019-10-25 00:00:00,13.5,1.866666666666667,1.9139118457300277,0.21930835734870313,0.21930835734870313
BRP,BRP Group,2019-10-24 00:00:00,17.3,-0.034104046242774556,0.04116945107398554,0.09955891619407689,0.09955891619407689
BRBR,BellRing Brands,2019-10-18 00:00:00,16.12,0.2009925558312654,0.04910242872228087,0.06484458735262598,0.06484458735262598
HBT,HBT Financial,2019-10-11 00:00:00,15.86,-0.15952080706179064,-0.27459263729631866,-0.08453922315308462,-0.08453922315308462
VIR,Vir Biotechnology,2019-10-11 00:00:00,16.15,1.536842105263158,2.599095704596835,0.15195369030390732,0.15195369030390732
BNTX,BioNTech SE,2019-10-10 00:00:00,16.5,2.987878787878788,3.159574468085107,0.5987149532710281,0.5987149532710281
APRE,Aprea Therapeutics,2019-10-03 00:00:00,15.45,1.5611650485436894,0.09763905562224896,-0.2762532981530343,-0.2762532981530343
FREQ,Frequency Therapeutics,2019-10-03 00:00:00,11.2,1.0705357142857146,0.4018567639257295,-0.07766143106457248,-0.07766143106457248
VIE,Viela Bio,2019-10-03 00:00:00,21.5,1.1609302325581397,0.11276595744680853,-0.25224673202614384,-0.25224673202614384
OPRT,Oportun Financial,2019-09-26 00:00:00,15.7,-0.1566878980891719,-0.2177242888402626,-0.0198766278272789,-0.0198766278272789
PTON,Peloton Interactive,2019-09-26 00:00:00,27.17,0.8380566801619431,1.8377703826955076,0.34053841619178615,0.34053841619178615
DDOG,Datadog,2019-09-19 00:00:00,40.35,0.8969021065675342,1.7976154992548437,0.08146099781080761,0.08146099781080761
XGN,Exagen,2019-09-19 00:00:00,16.8,-0.23928571428571435,-0.3699392712550608,-0.042307692307692366,-0.042307692307692366
PING,Ping Identity Holding,2019-09-19 00:00:00,18.75,0.5930666666666667,1.0799031476997578,0.07040498442367595,0.07040498442367595
NVST,Envista Holdings,2019-09-18 00:00:00,25.65,-0.08966861598440536,-0.22720848056537102,0.054992764109985555,0.054992764109985555
IGMS,IGM Biosciences,2019-09-18 00:00:00,18.31,2.2670671764063357,1.0959132610508757,-0.23220287198289027,-0.23220287198289027
NET,Cloudflare,2019-09-13 00:00:00,18.0,0.6777777777777777,1.5643869377695623,0.15611111111111103,0.15611111111111103
STSA,Satsuma Pharmaceuticals,2019-09-13 00:00:00,18.34,0.3680479825517993,0.41887019230769224,-0.2608015028177834,-0.2608015028177834
SWTX,SpringWorks Therapeutics,2019-09-13 00:00:00,24.5,0.6746938775510205,1.3080671358960478,-0.05097951914514691,-0.05097951914514691
TXG,10x Genomics,2019-09-12 00:00:00,54.0,0.5175925925925926,0.6313432835820897,0.11606535057862497,0.11606535057862497
SDC,SmileDirectClub,2019-09-12 00:00:00,20.59,-0.6080621661000486,-0.28691983122362874,0.058897243107769275,0.058897243107769275
JFU,9F,2019-08-15 00:00:00,10.88,-0.4944852941176471,-0.8255813953488372,-0.7681331747919143,-0.7681331747919143
CFB,CrossFirst Bankshares,2019-08-15 00:00:00,14.5,-0.3510344827586207,-0.3359884141926141,-0.09655172413793107,-0.09655172413793107
INMD,InMode Ltd.,2019-08-08 00:00:00,13.62,0.7665198237885462,-0.2873816340013213,0.06412364353830974,0.06412364353830974
HKIB,AMTD International,2019-08-05 00:00:00,8.91,-0.11447811447811453,-0.19239904988123516,0.04615384615384613,0.04615384615384613
